iter	Passed	Remaining
0	57	57250
1	57	28756
2	57	19274
3	58	14524
4	58	11707
5	59	9824
6	59	8464
7	59	7436
8	60	6646
9	60	6021
10	61	5498
11	62	5121
12	62	4754
13	62	4435
14	63	4151
15	63	3911
16	64	3702
17	64	3509
18	64	3344
19	65	3197
20	65	3056
21	65	2930
22	66	2820
23	66	2711
24	67	2617
25	67	2524
26	67	2440
27	68	2364
28	68	2291
29	68	2223
30	69	2160
31	69	2106
32	69	2050
33	70	1998
34	70	1948
35	71	1901
36	71	1864
37	71	1821
38	72	1783
39	72	1746
40	73	1709
41	73	1673
42	73	1644
43	74	1612
44	74	1583
45	74	1555
46	75	1527
47	75	1499
48	76	1483
49	76	1461
50	77	1437
51	77	1413
52	77	1392
53	78	1370
54	78	1352
55	78	1331
56	79	1311
57	79	1295
58	80	1277
59	80	1260
60	80	1244
61	81	1230
62	81	1215
63	81	1199
64	82	1184
65	82	1168
66	83	1166
67	84	1153
68	84	1139
69	84	1126
70	85	1114
71	85	1100
72	85	1088
73	85	1075
74	86	1064
75	86	1053
76	87	1043
77	87	1036
78	87	1025
79	88	1015
80	88	1006
81	89	997
82	89	985
83	89	975
84	89	968
85	90	959
86	90	950
87	91	943
88	91	935
89	91	927
90	92	919
91	92	913
92	92	905
93	93	898
94	93	891
95	93	884
96	94	877
97	94	871
98	95	865
99	95	859
100	95	853
101	96	847
102	96	841
103	96	835
104	97	829
105	97	824
106	98	818
107	98	812
108	98	808
109	99	803
110	99	797
111	99	792
112	100	788
113	100	783
114	101	778
115	101	772
116	101	767
117	102	764
118	102	759
119	103	756
120	103	751
121	103	747
122	104	743
123	104	739
124	105	735
125	105	730
126	105	726
127	106	722
128	106	718
129	106	715
130	107	711
131	107	707
132	107	703
133	108	700
134	108	696
135	109	693
136	109	689
137	109	686
138	110	682
139	110	679
140	110	675
141	111	671
142	111	668
143	111	665
144	112	662
145	112	658
146	112	655
147	113	652
148	113	649
149	113	645
150	114	642
151	114	640
152	115	636
153	115	633
154	115	631
155	116	628
156	116	625
157	116	621
158	117	619
159	117	616
160	117	612
161	117	609
162	118	607
163	118	605
164	119	602
165	119	600
166	119	598
167	120	596
168	120	594
169	121	591
170	121	589
171	121	586
172	122	584
173	122	581
174	123	579
175	123	578
176	123	576
177	124	574
178	124	572
179	125	570
180	125	567
181	125	565
182	126	563
183	126	561
184	127	563
185	128	560
186	128	558
187	129	557
188	129	554
189	129	552
190	129	550
191	130	548
192	130	546
193	131	545
194	131	543
195	132	541
196	132	540
197	132	537
198	133	535
199	133	533
200	133	531
201	134	529
202	134	527
203	134	525
204	135	524
205	135	522
206	136	523
207	137	521
208	137	520
209	137	518
210	138	517
211	138	515
212	138	513
213	139	511
214	139	509
215	140	508
216	140	506
217	140	505
218	141	503
219	141	501
220	141	499
221	142	497
222	142	496
223	142	494
224	143	493
225	143	491
226	143	490
227	144	488
228	144	486
229	144	485
230	145	483
231	145	482
232	146	481
233	146	479
234	146	478
235	147	476
236	147	475
237	147	473
238	148	471
239	148	470
240	148	469
241	149	467
242	149	466
243	150	465
244	150	463
245	151	463
246	151	462
247	151	460
248	152	459
249	152	457
250	152	456
251	153	455
252	153	453
253	154	454
254	155	453
255	155	452
256	156	451
257	156	449
258	156	448
259	157	446
260	157	446
261	157	444
262	158	443
263	158	442
264	159	441
265	159	439
266	159	438
267	160	437
268	160	436
269	160	434
270	161	433
271	161	432
272	161	431
273	162	430
274	162	429
275	163	428
276	163	426
277	163	425
278	164	424
279	164	423
280	164	421
281	165	420
282	165	420
283	166	418
284	166	417
285	166	416
286	167	415
287	167	414
288	167	413
289	168	412
290	168	410
291	169	409
292	169	408
293	169	407
294	169	405
295	170	404
296	170	403
297	170	402
298	171	401
299	171	400
300	172	399
301	172	398
302	172	397
303	173	396
304	173	395
305	173	394
306	174	393
307	174	392
308	175	391
309	175	390
310	175	389
311	176	388
312	176	387
313	176	386
314	177	385
315	178	385
316	178	384
317	178	383
318	179	382
319	179	381
320	179	380
321	180	379
322	180	378
323	180	377
324	181	376
325	181	375
326	182	374
327	182	374
328	183	373
329	183	373
330	184	372
331	184	371
332	184	370
333	185	369
334	185	368
335	185	367
336	186	366
337	186	365
338	186	364
339	187	363
340	187	362
341	187	361
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	190	356
348	190	355
349	190	354
350	191	353
351	191	352
352	191	351
353	192	350
354	192	349
355	192	348
356	193	348
357	193	347
358	194	346
359	194	345
360	194	344
361	195	343
362	195	343
363	195	342
364	196	341
365	196	340
366	197	339
367	197	338
368	197	337
369	198	337
370	198	336
371	198	335
372	199	334
373	199	334
374	199	333
375	200	332
376	200	331
377	201	330
378	201	330
379	201	329
380	202	328
381	202	327
382	202	327
383	203	326
384	203	325
385	204	324
386	204	323
387	204	323
388	205	322
389	205	321
390	205	320
391	206	319
392	206	318
393	206	317
394	206	317
395	207	316
396	207	315
397	208	314
398	208	313
399	208	313
400	208	312
401	209	311
402	209	310
403	210	310
404	210	309
405	210	308
406	211	307
407	211	307
408	211	306
409	212	305
410	212	304
411	213	304
412	213	303
413	213	302
414	214	302
415	214	301
